"id","budget","original_language","popularity","release_date","revenue","status","vote_average","vote_count"
20542,40000000,"en",4.238482,2008-12-12,0,"Released",5.4,15
266396,40000000,"en",26.935458,2015-02-16,13644292,"Released",5.5,392
9978,40000000,"en",16.282962,2006-07-21,23937870,"Released",5.1,213
8271,20000000,"en",31.690456,2007-04-12,117760134,"Released",6.6,1006
10428,20000000,"en",17.842246,1995-09-14,7563728,"Released",6.2,398
5353,0,"en",8.048305,2007-09-03,0,"Released",6.6,96
11934,30000000,"en",14.188982,1994-03-11,0,"Released",7.1,275
14392,40000000,"zh",6.884467,2007-12-12,0,"Released",6.3,83
19495,25000000,"en",8.212018,2005-07-17,0,"Released",4.3,17
110415,39200000,"ko",64.238688,2013-08-01,86758912,"Released",6.7,2854
77459,25000000,"fr",17.375562,2011-10-12,0,"Released",6.5,313
26486,0,"en",6.7698,2004-09-24,0,"Released",5.9,15
9495,15000000,"en",44.690107,1994-05-11,9.4e+07,"Released",7.3,953
256040,40000000,"te",16.254032,2015-07-10,1e+08,"Released",7.5,135
24420,39000000,"en",37.492928,2009-08-14,101229792,"Released",6.7,798
1257,0,"en",18.678415,2007-02-02,69485490,"Released",5.8,191
62214,39000000,"en",27.908783,2012-10-04,35287788,"Released",6.6,932
16320,39000000,"en",45.388937,2005-08-25,38869464,"Released",7.4,1264
8842,39000000,"en",2.817364,2004-02-20,6614280,"Released",4.5,32
9531,39000000,"en",22.164202,1983-06-17,75850624,"Released",5.3,490
64807,40000000,"en",21.362949,2013-12-25,44907260,"Released",6,433
12289,80341000,"zh",14.8375,2008-07-10,127814609,"Released",7.1,205
11529,30000000,"en",18.256028,2002-09-26,180622424,"Released",6,394
20943,38000000,"en",22.332927,2009-07-24,205298907,"Released",6.4,972
